,F_NAME,F_CONTENT,CATEGORY
0,Artworks-39.txt,"The door was the first major work of art from an Islamic culture to enter our collection. In the years since, the Museum has collected nearly 6,000 works of art made for or within Islamic communities. More than 60 highlights are now on view in a dedicated gallery. #wiHE7wk3xx",Artworks
1,Artworks-60.txt,This is one of the most elaborate and detailed drawings by Italian Renaissance master Sandro Botticelli – a representation of autumn carries an abundance of flowers and fruits. The artist died #onthisday in 1510SASsIBo1ug,Artworks
2,Artworks-55.txt,Get close to the artist’s masterpieces in our #RodinExhibition and discover the inspirations behind his works – book tickets: http://ow.ly/hLxl30kbrrc y6nWre8vvu,Artworks
3,Artworks-96.txt,This Maya stone lintel dets Lord Shield Jaguar and his wife Lady Xoc engaged in a bloodletting rite. It would have originally been painted in vivid colours – there are traces of blue and red pigment. http://ow.ly/Wyr530hJEK0 MGggcQu6OY,Artworks
4,Artworks-24.txt,"In Japan, the god of wealth is often shown with a golden mallet and a white rat, just like this woodblock print. Rats are thought to be ausious, bringing good fortune to a household http://ow.ly/fSGd30qaN0o  #LunarNewYear #YearOfTheRatpZvMxiUWsw",Artworks
5,Artworks-11.txt,"I consider any photo taken by a millennial to be a selfie (in this case, my daughter). Here are two sisters right before seeing Artustc License. #MuseumSelfieDay! #tg2Okt2EsV",Artworks
6,Artworks-92.txt,"“Self-portrait serves as a window for him to express himself, and constantly referred to in his correspondences with other artists. And hence I hope to study him via the same window. ” Zeng Fanzhi about   #VanInspiresX7kOSkZ422",Artworks
7,Artworks-13.txt,This work is on view in #ArtisticLicense through January 12. Plan your visit:https://gu.gg/2vOFDwg,Artworks
8,Artworks-69.txt,"#JamieWyeth's ""Portrait of #JohnFKennedy"" (1967) is one of the artist's most iconic images—and one of the most memorable detions of the late president, who was born in #Brookline #onthisday in 1917. The painting is currently on loan to our friends at @JFKLibrary.Lca3SSNGAi",Artworks
9,Artworks-15.txt,Frank Lloyd Wright’s architectural masterpiece was recently honored as part of a designated UNESCO World Heritage site! Your donation in any amount makes a big difference in sustaining our landmark building. Give now: https://gu.gg/381lDIE iBM6NvFwDj,Artworks
10,Artworks-23.txt,"These charming engravings illustrated Lewis Carroll’s much-loved children’s book – ‘Alice’s Adventures in Wonderland’. They show Alice, the White Rabbit and the Cheshire Cat among other popular characters created by the author, born #onthisday in 1832 http://ow.ly/UZE330qcEcc lRrC0lp4tW",Artworks
11,Artworks-64.txt,"Now a world-famous artwork, prints of the Great Wave originally cost the same as two helpings of noodles!  Find out more surprising facts about this iconic print: https://blog.britishmuseum.org/making-waves/ BtYfD4sGfB",Artworks
12,Artworks-32.txt,"Drawn in ink and watercolour, this vivid pineapple (with an assortment of insects) was created by trailblazing artist and scientist Maria Sibylla Merian, who died #onthisday in 1717 http://ow.ly/VnyM30q7tIy oAKResJtNR",Artworks
13,Artworks-73.txt,"Depression-era photographs by #DorotheaLange, born #onthisday in 1895, show not only despair, but also a sense of pride with which her subjects endured their circumstances. See Lange's ""Migrant Family, Texas"" (1936) in our #photography exhibition ""(un)expected families.""qPs7zzSuqr",Artworks
