,F_NAME,F_CONTENT,CATEGORY
0,OnThisDay-1.txt,"Installation for Countryside, The Future starts today in our rotundaramps are closed and admission is reduced through February 18. Learn about the changeover process:",OnThisDay
1,Artworks-1.txt,"""Le PoÃ¨te"" (1987-88), ""Autoportrait rue du Moulin-vert"" (1981), and ""Les lettres de Mathieu"" (1984), acquired through funds contributed by anonymous donor. © Estate of HervÃ© Guibert.",Artworks
2,Artworks-2.txt,"#WorkoftheWeek: HervÃ© Guibert's work investigated the relationship between words and images, the visual strategies of Surrealism, and the homoerotic gaze. These works represent major thematic concentrations of his oeuvre, from self-portraiture to depictions of the writer's",Artworks
3,Promotions-1.txt,"To our followers in Spaindon't miss ""Masterpieces from the Collection of the Kunsthalle Bremen"" at @MuseoGuggenheim, closing February 16. Learn more:",Promotions
4,Artworks-3.txt,"Weekend listeningdiscover how painters of the 1960s pushed color to the limit in an interview with #TheFullnessofColor curator, @MeganFontanella. Listen:",Artworks
5,Artworks-4.txt,"Today's #FrankLloydWrightFridays image is by @sadsoftphotos""The Guggenheim was on top of my list of buildings to visit and photograph while in NYC. It's such an iconic, unique, and beautiful piece of architecture that stands out amongst the many angular structures in the city.""",Artworks
6,Artworks-5.txt,"Employing unconventional materials and processes, Sara Greenberger Rafferty creates photographs that are both sculptures and images. Learn more about this work, ""November"" (2017), a recent acquisition to the #GuggenheimCollection:",Artworks
7,Promotions-2.txt,"Tickets just went on sale to the opening symposium for #CountrysideTheFuture, an exhibition Im organizing @Guggenheim with Rem Koolhaas @sbantal @hellomendelsohn and others. Link below. Show opens Feb 20...  ¦",Promotions
8,VIP_CIT-1.txt,"#ArtistInterventions: From August 2021, 2015, artist Agathe Snow staged a 24-hour party in the Guggenheim rotunda. Watch a time-lapse video of the event:",VIP_CIT
9,Artworks-6.txt,"#WorkoftheWeek: In D'aprÃ¨s la Marquise de la Solana"" (1969), Brice Marden created subtly layered surfaces by applying a mixture of oil paint and wax with a spatula, eliminating brushstrokes while producing marks that revealed earlier layers, often of a different shade or",Artworks
10,OnThisDay-2.txt,"Warm up for today's #SuperBowl Sunday with Henri Rousseau's ""The Football Players"" (1908)!",OnThisDay
11,OnThisDay-3.txt,"I wished others to share my joy. The museums founder, Solomon R. Guggenheim, was born #onthisday in 1861. The Guggenheim Museum was made possible by his inspired collecting of the art of his time. Learn more:",OnThisDay
12,Promotions-3.txt,"#SimoneLeigh's Jug (2019) is one of a suite of new sculptures created for her 2019 exhibition ""Loophole of Retreat,"" presented on the occasion of her winning the 2018 #HUGOBOSSPRIZE. Learn more about this recent acquisition to the #GuggenheimCollection:",Promotions
13,OnThisDay-4.txt,"Last chance! Shop the #GuggenheimStore's annual book sale online by midnight tonight for exhibition catalogues, art books, and more from $1!  Shop now:",OnThisDay
14,VIP_CIT-2.txt,"Feliciano CenturiÃ³n's ""Florece (Flourishes)"" and ""Estoy despierto (I am awake)"" generate a message of hope and protection for the artist and his community. Learn more about this recent acquisition to the #GuggenheimCollection:",VIP_CIT
15,Festivities-1.txt,"""Untitled (26)"" from ""Acts of Appearance"" (2015), purchased with funds contributed by the Photography Council, 2019. © Gauri Gill",Festivities
16,Promotions-4.txt,"This week we're sharing recent acquisitions to the #GuggenheimCollection, made possible through the support of generous patrons. Follow along to discover a new artwork each day!",Promotions
17,VIP_CIT-3.txt,"In her ""Acts of Appearance"" (2015) series, Gauri Gill collaborates with Adivasi papier-mÃ¢chÃ© artists from the Kokna tribe in the Jawhar district of Maharashtra,",VIP_CIT
18,Promotions-5.txt,"This work will be on view from March 28 in Away from the Easel: Jackson Pollocks Mural. © 2020 The Pollock-Krasner Foundation / Artists Rights Society (ARS), New York Photo: Herbert Matter, Courtesy of the Department of Special Collections, Stanford University Libraries",Promotions
19,OnThisDay-5.txt,"Jackson Pollockborn #onthisday in 1912painted his first large-scale painting Mural in 1943. Commissioned by Peggy Guggenheim for her New York City townhouse, the painting is Pollocks largest work stretching nearly 20 feet wide by 8 feet",OnThisDay
20,Promotions-6.txt,"Around townour friends @ICPhotog have a new home at Essex Crossing, plus four new exhibitions to explore!",Promotions
21,Festivities-2.txt,"#Happybirthday to the founder of #WorksandProcess, Mary Sharp Cronson! Here she is having a panel discussion with #DavidParsons in January",Festivities
22,History-1.txt,"Today's #FrankLloydWrightFridays image is by Taylor Lamb: ""The architecture of the Guggenheim forces your gaze upward as you go through the exhibit, promising more discoveries on every floor. Similarly to life, dont settle at level one, and always keep looking up."" #",History
23,VIP_CIT-4.txt,"It's #NationalHandwritingDay!  Take a look back at collection artist Perle Fine's handwritten letters to the museum's first director Hilla Rebay, where she talks about her devotion to and passionate advocacy of non-objective art.",VIP_CIT
24,Promotions-7.txt,"To our followers in Spaindon't miss ""Soto. The Fourth Dimension"" at @MuseoGuggenheim, closing February 9. Learn more:   #",Promotions
25,Artworks-7.txt,Color is an uncontainable force in a compact show of paintings from the nineteen-sixties at the Guggenheim,Artworks
26,Promotions-8.txt,"Want 2-for-1 tickets? Were joining @nycgo for #NYCMustSeeWeekvisit the #Guggenheim, and bring a friend for free! Learn more:",Promotions
27,Artworks-8.txt,"#WorkoftheWeek: To make Ecriture No. 55-73 (1973) Park Seo-Bo applied a thin layer of oil paint to the canvas and drew repeated, angular marks. The paintings combination of speed, regularity, and continuity suggests a complete absorption in the",Artworks
28,Promotions-9.txt,"To our followers in Italydon't miss ""Peggy Guggenheim: The Last Dogaressa,"" an exhibition at @GuggenheimPGC commemorating two anniversaries70 years since Peggy moved to Palazzo Venier dei Leoni, and 40 years since her passingon view through January",Promotions
29,Promotions-10.txt,"Today's #FrankLloydWrightFridays image is by Noel Calingasan""I go to the Guggenheim not only to explore the permanent collection and the ever-changing array of exhibitions, but also for the iconic rotunda. The view of this feature of the amazing architecture never gets old.""",Promotions
30,Promotions-11.txt,The Solomon R. Guggenheim Museum is arguably the only New York museum that shows art inside a work of art. Best exhibitions to see at the Guggenheim Museum right now:,Promotions
31,Promotions-12.txt,"Guggenheim Collection artist Stan Douglas will represent Canada at the Venice Biennale in 2021hear him speak about his latest work at the Guggenheim next Tuesday, January 21.  ¦",Promotions
32,Promotions-13.txt,"© 2020 Estate of Gene Davis / Artists Rights Society (ARS), New York.",Promotions
33,Artworks-9.txt,"#WorkoftheWeek: In the late 1950s, Gene Davis began producing the striped paintings that would almost exclusively occupy him for the rest of his career. ""Wheelbarrow"" (1971) is composed of thin pinstripes, applied freehand, that span the height of the",Artworks
34,Promotions-14.txt,"An Evening with Stan Douglas at @Guggenheim on Tuesday 1/21 is your chance to hear the artist speak about his multi-channel video installation DoppelgÃ¤nger, which opens this Thursday at our 20th St Gallery in NYC. Tickets available here,",Promotions
35,Artworks-10.txt,"I consider any photo taken by a millennial to be a selfie (in this case, my daughter). Here are two sisters right before seeing Artustc License. #MuseumSelfieDay! #",Artworks
36,Promotions-15.txt,"#ArtistInterventions: For 14 weeks in 2015, the Guggenheim presented weekly performances of artist duo Gerard & Kelly's work Timelining (2014) as part of the museum's exhibition Storylines. Learn more:",Promotions
37,Promotions-16.txt,"Plus, come back to see #CountrysideTheFuture after it opens on February 20 and subtract the cost of your ticket from your full-priced admission. ¦",Promotions
38,VIP_CIT-5.txt,"Today is the last day to see #ArtisticLicense at @Guggenheim #GuggenheimNYC - go if you can!  Absolutely loved the 6 ""living masters"" take on the collection. Such fantastic themes, the ""great artists before they were famous"" is huge fun - both abstract themes are wonderful. Wow!",VIP_CIT
39,Festivities-3.txt,How well do you know Frank Lloyd Wright? Test your knowledge with this fun quiz from @WrightTaliesin! ¦,Festivities
40,Promotions-17.txt,"Final weekend! Don't miss #ArtisticLicense, the museum's first exhibition curated by artists, on view through tomorrow, January 12. Plan your visit:",Promotions
41,Promotions-18.txt,"Looking for a new read? Shop the #GuggenheimStore's annual book sale online for exhibition catalogues, art books, and more from $1!  Shop:",Promotions
42,VIP_CIT-6.txt,"Today's #FrankLloydWrightFridays illustration is by Agniya Tolstokulakova: ""I use color as a communication tool to help me convey the atmosphere of a place. In my work, I tried to capture the romance of the beautiful architecture of Frank Lloyd Wright.""",VIP_CIT
43,Artworks-11.txt,An astonishing photo of the construction of the @Guggenheim #tbt #uscranes #,Artworks
44,Promotions-19.txt,"The legendary architect Rem Koolhaas is turning his unflinching gaze to the earths future, with an exhibition opening at New York Citys Guggenheim Museum.",Promotions
45,Promotions-20.txt,"To our followers in New Yorkdon't miss #ArtisticLicense, a provocative, six-sided conversation (@nytimes) at the @Guggenheim through January 12. Plan your visit:",Promotions
46,Promotions-21.txt,"To our followers in Spaindon't miss Thomas Struth at @museoguggenheim, closing January 19. Learn more:   #",Promotions
47,History-2.txt,"This is the last week to see #ArtisticLicense at the #Guggenheim, a rare glimpse of six artists curating the legendary space and collection.  Richard Prince examines #AbstractExpression including two oil impasto works from the fifth Beatle, Stuart",History
48,Promotions-22.txt,"#ArtistInterventions: In 2015, Agnieszka Kurant presented The End of Signature, a crowd-sourced work projected on the museum's facade at nightfall for the exhibition Storylines. Learn more:",Promotions
49,OnThisDay-6.txt,"Our @worksandprocess spring 2020 season starts tonight! Go behind the scenes with @A_R_Costanzo, @MetOpera, @OmariWiles and @EphratAsherie, and many more. Explore the season:  """,OnThisDay
50,VIP_CIT-7.txt,"We at the Guggenheim are deeply saddened by the passing of internationally acclaimed artist John Baldessari, whose retrospective was on view at the former Deutsche Guggenheim in 2004:",VIP_CIT
51,Artworks-12.txt,#WorkoftheWeek: Joan Mitchell made Canada I (1975) following a trip to the area north of Montreal with fellow artist and companion Jean-Paul Riopelle. The painting embodies her experience of the regions expansive terrain and the intensity of the impending,Artworks
52,VIP_CIT-8.txt,"Dont miss the New York premiere of @A_R_Costanzos Broadway cabaret, on January 6 as part of the @worksandprocess series at the @Guggenheim. Use code MET for a $25 discount.  ¦",VIP_CIT
53,VIP_CIT-9.txt,"#GuessTheArtistThis artists intention is to communicate with the masses by drawing from the visual language of advertising, marketing, and the entertainment industry. Tweet your best guess and well share the answer by the end of the day. #GuggenheimCollection #",VIP_CIT
