FORMULA	NRETWEET	NLIKE	NANS	FOLLOWERS	MUSEUM	ISRETWEET	PARTOFDAY	HASEMARK	HASQMARK	HASNERPER	HASNERLOC	HASNERORG	HASNERMISC	NURLS	NIMG	NHASH	NMENTION	LENGTH	DENSE	SENT	ENG	LONG	FULL_TEXT
0	3	4	0	400000	mfaboston	0	afternoon	1	1	1	1	1	1	0	2	2	1	273	0	1	0	1	Happy #BostonPride Week! Feeling #WickedProud? Stop by the Museum for screenings of "A Fantastic Woman" and "Call Me By Your Name" co-presented with @wickedqueer and a lecture with three photographers who have depicted LGBTQ subjects and families pic.twitter.com/uxo3rgeyga
0	14	61	0	400000	mfaboston	0	night	1	0	1	0	1	1	0	2	4	0	224	0	1	0	1	This week's fan favorite goes to Instagram user eriwg088, who's #dressedtomatch with our #HelenFrankenthaler painting in the Linde Family Wing for #ContemporaryArt. Enter next week using #mfaBoston!pic.twitter.com/Zdx5lHRtRu
0	2	11	0	400000	mfaboston	0	evening	0	1	1	1	0	1	0	2	0	0	299	0	0	0	1	What's new in the galleries? "Jala" (2004) was painted by S. H. Raza, one of India's foremost artists of the 20th century. The abstract composition is on view in our South and Southeast Asian Art Gallery, alongside sculptures of divinities from the 10th and 11th centuries.pic.twitter.com/RDs3oovC6i
0	10	34	1	400000	mfaboston	0	afternoon	0	0	0	0	1	1	0	3	2	0	299	0	1	0	1	Remembering iconic artist #EllsworthKelly, born #onthisday in 1923. Kelly’s works were based on things he saw: shadows, plants, architecture. He captured their essence by distilling them into pure line, shape, and, above all, color. (: "Blue Green Yellow Orange Red," 1968)pic.twitter.com/Jfxp2wieFo
0	7	25	1	400000	mfaboston	0	afternoon	1	0	0	1	1	0	0	2	0	1	111	0	1	0	1	Can't wait to see the fabulous fashions for @EmNecklaceBos's Party in the Park today!pic.twitter.com/cYqpE4SBb1
0	5	8	0	400000	EatalyBoston	1	evening	1	0	0	1	1	1	1	2	0	1	280	0	1	0	1	We are excited to announce that @MFABoston will be joining us at our summer block party series! With spritz in hand, you can learn to sketch a live Italian scene under the guidance of an expert MFA drawing instructor. Get tickets!: http://bit.ly/2rKSKg4 pic.twitter.com/XoCdTa8ps8
0	11	31	2	400000	mfaboston	0	evening	1	0	1	0	0	1	1	2	0	1	259	0	1	0	1	Happy 90th birthday to iconic filmmaker Agnès Varda! A free outdoor screening of her playful documentary “Faces Places,” a collaboration with @JRart, kicks off our annual Boston French Film Festival on July 12: http://bit.ly/2IWLQ1R pic.twitter.com/NNikcFoQUR
0	9	43	0	400000	mfaboston	0	evening	0	0	1	0	0	1	0	2	1	0	299	0	1	0	1	#JohnPaulMiller admired the sophisticated metalwork of the ancient Etruscans—especially their use of gold granulation. Miller reinvigorated this ancient technique and used it to great textural effect on elegant pendants and brooches that recall mysterious marine creatures.pic.twitter.com/6HOpDhv8Tl
0	3	11	0	400000	mfaboston	0	afternoon	0	0	1	1	0	0	0	2	0	0	170	0	0	0	1	Answer: It was the first painting Sargent exhibited in America. Samuel Colman, a landscape painter 24 years Sargent’s senior, bought it for $200 as a standard to emulate.
0	23	107	1	400000	mfaboston	0	night	0	1	0	1	0	1	0	3	2	0	305	0	1	0	1	#TriviaTuesday: In 1877, #Sargent, then 21 years old, spent the summer in France sketching fisherfolk. Critics praised the resulting “Fishing for Oysters at Cancale” for its silvery hue and almost palpable marine atmosphere. Why was the painting significant for the young artist?pic.twitter.com/jb3nY0QOch
0	2	9	0	400000	mfaboston	0	afternoon	1	1	1	0	0	1	1	8	1	0	245	0	1	0	1	The #mfaSummerParty is T-minus two weeks away! Have you gotten your tickets yet? Grab your friends and enjoy a night of: Dancing  Open Bar  Art Auction  Dessert  Late-Night Bites  Performance Art  http://bit.ly/2KPvche pic.twitter.com/6z1q9xg1R8
0	68	206	4	400000	mfaboston	0	afternoon	0	0	0	0	1	1	0	2	4	1	292	0	1	0	1	#JamieWyeth's "Portrait of #JohnFKennedy" (1967) is one of the artist's most iconic images—and one of the most memorable depictions of the late president, who was born in #Brookline #onthisday in 1917. The painting is currently on loan to our friends at @JFKLibrary.pic.twitter.com/Lca3SSNGAi
0	7	21	0	400000	mfaboston	0	evening	1	0	0	0	0	1	0	10	0	0	130	0	1	0	1	Inspired by the exhibition, "Endless Feast," we're recreating miniature versions of our favorite foods! pic.twitter.com/uipFgwr753
0	7	10	0	400000	mfaboston	0	evening	1	0	0	1	0	1	0	2	1	1	150	0	1	0	1	What a great performance by @SociedadLatina! Thanks so much for sharing your talent. #crusheditpic.twitter.com/4bRVUNPOXI – presso Museum of Fine Arts
0	5	30	1	400000	mfaboston	0	afternoon	0	0	1	0	0	1	0	3	0	0	161	0	0	0	1	Only on view today, Nora Valdez's "Immigration Nation" uses suitcases to tell individual stories of immigrant journeys and experiences.pic.twitter.com/6YBMj39zhl
0	3	6	0	400000	mfaboston	0	afternoon	1	0	1	0	0	1	0	3	1	0	116	0	1	0	1	On this family art tour, we're learning about Tara Donovan's work on view. Wow! #mfaBostonpic.twitter.com/VEzSmyMVuj
0	5	14	2	400000	mfaboston	0	afternoon	1	1	0	0	0	0	0	6	0	0	166	0	1	0	1	Feeling creative? We're making art inspired by works on view! Here is an original print inspired by the exhibition "(un)expected families." pic.twitter.com/lEeM7MRUrv
