FORMULA	NRETWEET	NLIKE	NANS	FOLLOWERS	MUSEUM	ISRETWEET	PARTOFDAY	HASEMARK	HASQMARK	HASNERPER	HASNERLOC	HASNERORG	HASNERMISC	NURLS	NIMG	NHASH	NMENTION	LENGTH	DENSE	SENT	ENG	LONG	FULL_TEXT
0	11	46	0	360000	artinstitutechi	0	evening	0	0	1	0	1	1	0	2	1	0	305	0	1	0	1	As the story goes, Saint Andrew welcomed death by crucifixion because it brought him closer to Christ. Capturing the emotional drama of this moment, Italian artist Pompeo Batoni depicted the saint with a somber expression, tenderly embracing his instrument of torture. #NowOnViewpic.twitter.com/u920dl2QEG
0	6	12	0	360000	artinstitutechi	0	afternoon	0	1	0	1	1	1	1	2	0	0	282	0	1	0	1	SATURDAY—Jobs at Art Museums (JAM) Ever wonder what it’s like to work at an art museum? Join us for this all-day museum career awareness event at the Art Institute—free for students with a current college or university ID. LEARN MORE—http://bit.ly/31FodkK pic.twitter.com/uosX2gOURz
0	5	15	0	360000	artinstitutechi	0	night	0	0	0	1	0	1	1	1	0	0	218	0	1	0	1	Be a fly on the wall and see how our conservation technicians preserve textiles from pests—in the latest from Articles.https://www.artic.edu/articles/798/moth-seeks-wool-a-tale-of-desire-pheromones-and-all-that-frass …
0	2	14	0	360000	artinstitutechi	0	evening	0	0	1	1	0	0	1	1	0	1	395	0	0	0	1	"I try not to be all dogmatic and preachy but let people make their own connections." The @chicagotribune speaks with artist Vaginal Davis, a key figure in the history of queer music, performance, and video art. See her work on view at the Art Institute.https://www.chicagotribune.com/entertainment/museums/ct-ent-vaginal-davis-art-institute-0209-20200204-ckf3b4bfp5gxxoke3rqum6huia-story.html …
0	10	57	0	360000	artinstitutechi	0	evening	0	1	0	1	1	1	1	2	0	0	295	0	1	0	1	Valentine's Day plans? Enjoy the Art Institute's new evening hours. The museum is open until 8:00 p.m. on Wednesdays, Thursdays, and Fridays. And Illinois residents enjoy free admission this month (Monday–Friday) as part of Free Winter Weekdays: http://artic.edu/visit pic.twitter.com/efzvaNhOaB
0	29	166	2	360000	artinstitutechi	0	night	0	0	1	1	0	1	0	2	0	0	302	0	1	0	1	Antinous, the young lover of Emperor Hadrian, drowned in the Nile River while on an imperial tour of Egypt. Devastated by the untimely death, Hadrian founded a city in his honor, Antinoupolis, and pronounced him a god. See "Portrait Bust of Antinous as Osiris" in Ancient Art.pic.twitter.com/8AxgMUTPx9
0	20	95	2	360000	artinstitutechi	0	evening	0	0	1	1	0	1	0	2	0	0	280	0	1	0	1	Henri Rousseau was a self-taught artist known for his visionary paintings—in particular, those on the theme of the jungle. Though Rousseau depicted far-flung places, he never set foot outside France. See "The Waterfall" (1910) on view in the Modern Wing.pic.twitter.com/46UFjdhzyt
0	22	100	2	360000	artinstitutechi	0	evening	0	0	1	1	0	1	0	2	0	0	305	0	1	0	1	Shiva—one of the most important Hindu divinities—is here depicted as the Lord of the Dance (Nataraja), an iconic image in Indian art. This classic bronze comes from the Chola period in the south of India. Icons such as this were carried in procession during religious ceremonies.pic.twitter.com/df5zFX9tHA
0	4	11	0	360000	artinstitutechi	0	evening	0	0	1	0	1	1	1	2	0	0	277	0	0	0	1	FEBRUARY 27—Concert: Charles Curtis performs Eliane Radigue’s "Naldjorlak I" Cellist Charles Curtis performs composer Eliane Radigue’s work for solo cello—at the Art Institute. TICKETS—http://bit.ly/38tNWic  Presented as part of the Frequency Festivalpic.twitter.com/dGJjUc164M
0	7	30	0	360000	artinstitutechi	0	afternoon	0	0	1	1	1	1	1	2	1	0	276	0	1	0	1	Walter Ellison’s "Train Station" depicts an energetic scene in which many travelers depart from a central terminal. The composition reflects how values in the 1930s prevented blacks and whites from mixing. #NowOnView LEARN MORE—http://bit.ly/2RzLdLj pic.twitter.com/4NejHFMsHd
0	8	7	0	360000	ChiTribEnt	1	night	0	0	1	0	0	1	1	1	0	1	276	0	1	0	1	In 1998, Vaginal Davis and PME recorded “The White to Be Angry”. Then she made a video of the same title that challenged race, class and gender by addressing white supremacy. The world needs it now more than ever so @artinstitutechi is hosting an exhibit.http://bit.ly/2Ou0WwF
0	5	13	0	360000	artinstitutechi	0	evening	0	0	0	1	0	0	1	2	0	0	302	0	0	0	1	In the Gulf Coast lowlands between 900 and 400 BC, Olmec rulers built cities with ceremonial earthen pyramids, platforms, and plazas. This figurine may have marked a rite of passage, when young men were initiated as rulers, warriors, priests, or traders—http://bit.ly/2GYk7uq pic.twitter.com/FG9b8Mf3IK
0	2	24	0	360000	artinstitutechi	0	evening	0	0	0	1	0	1	1	3	0	0	268	0	1	0	1	SATURDAY—Lunar New Year Celebration Celebrate the Lunar New Year at this multigenerational event featuring art-making activities, games, performances, and gallery talks in English or Mandarin. Free with museum admission—http://bit.ly/31f1KKQ pic.twitter.com/gGhJ7HwsCM
0	12	54	3	360000	artinstitutechi	0	afternoon	0	0	0	1	0	1	1	1	0	0	298	0	0	0	1	Explore a remarkable collection of drawings rarely seen by the public—now on view in "Pure Drawing: Seven Centuries of Art from the Gray Collection."https://chicago.suntimes.com/2020/1/22/21073349/art-institute-chicago-richard-gray-mary-gray-degas-picasso-cezanne-vangogh-kandinsky-boucher-rubens …
0	5	11	0	360000	artinstitutechi	0	evening	1	1	0	1	1	1	1	4	0	0	308	0	1	0	1	Do you have a story, idea, or artistic practice you'd like to share with the city? Join our third annual Block Party on July 26! The theme this year is "Room to Move" and we want to know: What does movement mean to you? Submit your pitch by February 15: http://artic.edu/blockparty pic.twitter.com/sGUtR2gjuw
