,F_NAME,F_CONTENT,CATEGORY
0,OnThisDay-1.txt,"Installation for “Countryside, The Future” starts today in our rotunda—ramps are closed and admission is reduced through February 18. Learn about the changeover process: https://gu.gg/2Kfv1LX pic.twitter.com/aG04khIAIP",OnThisDay
1,Festivities-1.txt,"While Cafe 3 is under renovation (February 11–March 26), enjoy our cafe menu at The Wright restaurant, located on the ground floor. Learn more: https://gu.gg/2SzGKea pic.twitter.com/3o0HKkGexx",Festivities
2,History-1.txt,"#ArtistInterventions: In 2015, on the occasion of “Alberto Burri: The Trauma of Painting,” choreographer Tom Gold reimagined “November Steps,” a 1973 ballet choreographed by Alberto Burri’s wife Minsa Craig, which included staging and costumes by Burri himself.pic.twitter.com/vs2LoIgcze",History
3,Festivities-2.txt,"""Le Poète"" (1987-88), ""Autoportrait rue du Moulin-vert"" (1981), and ""Les lettres de Mathieu"" (1984), acquired through funds contributed by anonymous donor. © Estate of Hervé Guibert.",Festivities
4,Festivities-3.txt,"#WorkoftheWeek: Hervé Guibert's work investigated the relationship between words and images, the visual strategies of Surrealism, and the homoerotic gaze. These works represent major thematic concentrations of his oeuvre, from self-portraiture to depictions of the writer's abode.pic.twitter.com/gqOj9iMCcg",Festivities
5,Promotions-1.txt,"To our followers in Spain—don't miss ""Masterpieces from the Collection of the Kunsthalle Bremen"" at @MuseoGuggenheim, closing February 16. Learn more: https://gu.gg/32qBImR pic.twitter.com/mjRPWnKD1Z",Promotions
6,History-2.txt,"Weekend listening—discover how painters of the 1960s pushed color to the limit in an interview with #TheFullnessofColor curator, @MeganFontanella. Listen: https://gu.gg/37KWVf3 pic.twitter.com/IWp4l9P2wL",History
7,VIP_CIT-1.txt,"Today's #FrankLloydWrightFridays image is by @sadsoftphotos—""The Guggenheim was on top of my list of buildings to visit and photograph while in NYC. It's such an iconic, unique, and beautiful piece of architecture that stands out amongst the many angular structures in the city.""pic.twitter.com/x8WnDuH5EV",VIP_CIT
8,Festivities-4.txt,"Employing unconventional materials and processes, Sara Greenberger Rafferty creates photographs that are both sculptures and images. Learn more about this work, ""November"" (2017), a recent acquisition to the #GuggenheimCollection: https://gu.gg/31xoUMG pic.twitter.com/eqDedObPIP",Festivities
9,Promotions-2.txt,"Tickets just went on sale to the opening symposium for #CountrysideTheFuture, an exhibition I’m organizing @Guggenheim with Rem Koolhaas @sbantal @hellomendelsohn and others. Link below. Show opens Feb 20... https://tickets.guggenheim.org/Info.aspx?EventID=11&utm_medium=Email&utm_source=ExactTarget&utm_campaign=EX_Countryside_OpeningSoon_020620 …pic.twitter.com/oXdRx3EleH",Promotions
10,Other-0.txt,Shop our art-inspired favorites from the #GuggenheimStore for you and your valentine!  Shop now: https://gu.gg/370Mkvl pic.twitter.com/KgnhB0iBEu,Other
11,VIP_CIT-2.txt,"#ArtistInterventions: From August 20–21, 2015, artist Agathe Snow staged a 24-hour party in the Guggenheim rotunda. Watch a time-lapse video of the event:https://gu.gg/3b8EUcw",VIP_CIT
12,History-3.txt,"#WorkoftheWeek: In “D'après la Marquise de la Solana"" (1969), Brice Marden created subtly layered surfaces by applying a mixture of oil paint and wax with a spatula, eliminating brushstrokes while producing marks that revealed earlier layers, often of a different shade or color.pic.twitter.com/PnEHRl3tYi",History
13,OnThisDay-2.txt,"Warm up for today's #SuperBowl Sunday with Henri Rousseau's ""The Football Players"" (1908)! pic.twitter.com/OxHUO1XlNd",OnThisDay
14,OnThisDay-3.txt,"“I wished others to share my joy.” The museum’s founder, Solomon R. Guggenheim, was born #onthisday in 1861. The Guggenheim Museum was made possible by his inspired collecting of the art of his time. Learn more: https://gu.gg/2s0DXRf pic.twitter.com/9e46330sLz",OnThisDay
